分店名稱,MTWT.Morning,MTWT.MorningPr,MTWT.MorningHr,MTWT.MorningS,MTWT.Noon,MTWT.NoonPr,MTWT.NoonHr,MTWT.NoonS,MTWT.Afternoon,MTWT.Afternoon.Pr,MTWT.Afternoon.Hr,MTWT.Afternoon.S,MTWT.Night,MTWT.NightPr,MTWT.NightHr,MTWT.NightS,MTWT.Mid,MTWT.MidPr,MTWT.MidHr,MTWT.MidS,店,地址,電話,威力卡
台北敦南店,07:00-10:59,NA,NA,NA,11:00-14:59,249,5,50,15:00-15:59,249,5,50,18:00-19:59,299,3,50,23:00-01:59,299,5,50,錢櫃,台北市大安區敦化南路一段205號2樓,02-2731-6326,0.95
台北敦南店,NA,NA,NA,NA,NA,NA,NA,NA,16:00-16:59,249,5,50,NA,NA,NA,NA,NA,NA,NA,NA,錢櫃,台北市大安區敦化南路一段205號3樓,02-2731-6326,0.95
台北敦南店,NA,NA,NA,NA,NA,NA,NA,NA,17:00-17:59,279,4,40,NA,NA,NA,NA,NA,NA,NA,NA,錢櫃,台北市大安區敦化南路一段205號4樓,02-2731-6326,0.95
台北SOGO店,07:00-10:59,229,4,50,11:00-15:59,269,4,50,16:00-17:59,299,4,50,18:00-20:00,NA,NA,NA,20:00-01:59,NA,NA,NA,錢櫃,台北市大安區忠孝東路四段22號,02-2771-5000,0.95
台北松江店,NA,NA,NA,NA,11:00-14:59,239,5,50,15:00-15:59,239,5,50,18:00-19:59,299,3,X,23:00-01:59,309,4,X,錢櫃,台北市中山區松江路199號,02-2503-1688,0.95
台北松江店,NA,NA,NA,NA,NA,NA,NA,NA,16:00-16:59,239,4,50,NA,NA,NA,NA,NA,NA,NA,NA,錢櫃,台北市中山區松江路200號,02-2503-1688,0.95
台北松江店,NA,NA,NA,NA,NA,NA,NA,NA,17:00-17:59,239,4,50,NA,NA,NA,NA,NA,NA,NA,NA,錢櫃,台北市中山區松江路201號,02-2503-1688,0.95
台北南京店,NA,NA,NA,NA,NA,NA,NA,NA,17:00-17:59,219,4,40,18:00-19:59,279,4,40,23:00-02:59,259,4,40,錢櫃,台北市中山區南京東路二段3號,02-2560-2111,0.95
台北林森店,07:00-10:59,229,6,40,11:00-15:59,229,6,40,16:00-17:59,269,5,40,18:00-19:59,309,5,40,23:00-00:59,299,5,40,錢櫃,台北市中山區林森北路312?號,02-2537-6188,0.95
台北林森店,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01:00-06:59,299,4,40,錢櫃,台北市中山區林森北路313?號,02-2537-6188,0.95
台北中華新館,10:00-10:59,210,4,40,11:00-13:59,255,4,40,14:00-15:59,255,3,40,18:00-19:59,325,4,40,23:00-23:59,325,6,40,錢櫃,台北市中正區中華路一段55號,02-2205-9395,0.95
台北中華新館,NA,NA,NA,NA,NA,NA,NA,NA,16:00-17:59,325,4,40,NA,NA,NA,NA,00:00-00:59,295,4,40,錢櫃,台北市中正區中華路一段56號,02-2205-9395,0.95
台北中華新館,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01:00-06:59,275,4,40,錢櫃,台北市中正區中華路一段57號,02-2205-9395,0.95
板橋館,08:00-10:29,NA,NA,NA,10:30-11:59,300,4,C,12:00-16:59,330,4,C,18:00-18:59,410,4,C,NA,NA,NA,NA,星聚點,新北市板橋區中山路一段1號,02-2950-6565,1
板橋館,NA,NA,NA,NA,NA,NA,NA,NA,17:00-17:29,390,4,C,NA,NA,NA,NA,NA,NA,NA,NA,星聚點,新北市板橋區中山路一段1號,02-2950-6565,1
板橋館,NA,NA,NA,NA,NA,NA,NA,NA,17:30-17:59,410,4,C,19:00-21:59,470,4,C,NA,NA,NA,NA,星聚點,新北市板橋區中山路一段2號,02-2950-6565,1
西門館,10:00-11:59,320,4,C,12:00-16:59,350,4,C,17:00-17:29,400,4,C,18:00-18:59,420,4,C,NA,NA,NA,NA,星聚點,台北市中正區成都路81號,02-2388-6000,1
西門館,NA,NA,NA,NA,NA,NA,NA,NA,17:30-17:59,420,4,C,19:00-20:59,470,4,C,NA,NA,NA,NA,星聚點,台北市中正區成都路82號,02-2388-6000,1
復興館,11:00-11:59,330,4,C,12:00-16:59,360,4,C,17:00-17:29,410,4,C,18:00-18:59,440,4,C,NA,NA,NA,NA,星聚點,台北市松山區復興北路15號,02-2781-7700,1
復興館,NA,NA,NA,NA,NA,NA,NA,NA,17:30-17:59,440,4,C,19:00-19:59,480,4,C,NA,NA,NA,NA,星聚點,台北市松山區復興北路16號,02-2781-7700,1
復興館,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20:00-20:59,480,4,C,NA,NA,NA,NA,星聚點,台北市松山區復興北路17號,02-2781-7700,1
