分店名稱,Sun.Morning,Sun.MorningPr,Sun.MorningHr,Sun.MorningS,Sun.Noon,Sun.NoonPr,Sun.NoonHr,Sun.NoonS,Sun.Afternoon,Sun.Afternoon.Pr,Sun.Afternoon.Hr,Sun.Afternoon.S,Sun.Night,Sun.NightPr,Sun.NightHr,Sun.NightS,Sun.Mid,Sun.MidPr,Sun.MidHr,Sun.MidS,店,地址,電話,威力卡
台北敦南店,07:00-10:59,269,5,50,11:00-14:59,309,5,X,15:00-17:59,309,4,50,18:00-19:59,319,3,50,23:00-01:59,309,5,50,錢櫃,台北市大安區敦化南路一段205號2樓,02-2731-6326,0.95
台北SOGO店,07:00-10:59,299,4,50,11:00-15:59,339,4,50,16:00-17:59,339,4,50,18:00-20:00,NA,NA,NA,20:00-01:59,NA,NA,NA,錢櫃,台北市大安區忠孝東路四段22號,02-2771-5000,0.95
台北松江店,NA,NA,NA,NA,11:00-14:59,299,5,50,15:00-15:59,299,5,50,18:00-19:59,339,3,50,23:00-01:59,309,4,X,錢櫃,台北市中山區松江路200號,02-2503-1688,0.95
台北松江店,NA,NA,NA,NA,NA,NA,NA,NA,16:00-17:59,299,4,50,NA,NA,NA,NA,NA,NA,NA,NA,錢櫃,台北市中山區松江路201號,02-2503-1688,0.95
台北南京店,NA,NA,NA,NA,NA,NA,NA,NA,17:00-17:59,289,4,40,18:00-19:59,309,4,40,23:00-02:59,289,4,40,錢櫃,台北市中山區南京東路二段3號,02-2560-2111,0.95
台北林森店,07:00-10:59,299,6,40,11:00-15:59,319,6,40,16:00-17:59,319,5,40,18:00-19:59,339,5,40,23:00-00:59,329,5,40,錢櫃,台北市中山區林森北路312?號,02-2537-6188,0.95
台北林森店,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01:00-06:59,329,4,40,錢櫃,台北市中山區林森北路313?號,02-2537-6188,0.95
台北中華新館,10:00-10:59,305,4,40,11:00-13:59,335,4,40,14:00-17:59,335,4,40,18:00-19:59,355,4,40,23:00-23:59,355,6,40,錢櫃,台北市中正區中華路一段55號,02-2205-9395,0.95
台北中華新館,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20:00-22:59,385,3,80,00:00-00:59,325,5,40,錢櫃,台北市中正區中華路一段56號,02-2205-9395,0.95
台北中華新館,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,01:00-06:59,305,4,40,錢櫃,台北市中正區中華路一段57號,02-2205-9395,0.95
板橋館,08:00-08:59,330,4,C,NA,NA,NA,NA,16:00-16:59,460,4,C,18:00-21:59,470,4,C,NA,NA,NA,NA,星聚點,新北市板橋區中山路一段1號,02-2950-6565,1
板橋館,09:00-09:59,340,4,C,12:00-15:59,430,4,C,17:00-17:59,470,4,C,NA,NA,NA,NA,NA,NA,NA,NA,星聚點,新北市板橋區中山路一段1號,02-2950-6565,1
板橋館,10:00-10:59,380,4,C,11:00-11:59,400,4,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,星聚點,新北市板橋區中山路一段2號,02-2950-6565,1
西門館,08:00-08:59,330,4,C,11:00-11:59,410,4,C,14:00-15:59,440,3.5,C,18:00-20:59,480,4,C,NA,NA,NA,NA,星聚點,台北市中正區成都路81號,02-2388-6000,1
西門館,09:00-09:59,340,4,C,12:00-13:59,440,4,C,16:00-16:59,470,4,C,NA,NA,NA,NA,NA,NA,NA,NA,星聚點,台北市中正區成都路82號,02-2388-6000,1
西門館,10:00-10:59,380,4,C,NA,NA,NA,NA,17:00-17:59,480,4,C,NA,NA,NA,NA,NA,NA,NA,NA,星聚點,台北市中正區成都路83號,02-2388-6000,1
復興館,08:00-08:59,340,4,C,12:00-13:59,440,4,C,14:00-15:59,440,4,C,18:00-20:59,480,4,C,NA,NA,NA,NA,星聚點,台北市松山區復興北路15號,02-2781-7700,1
復興館,09:00-09:59,350,4,C,NA,NA,NA,NA,16:00-16:59,470,4,C,NA,NA,NA,NA,NA,NA,NA,NA,星聚點,台北市松山區復興北路16號,02-2781-7700,1
復興館,10:00-10:59,390,4,C,11:00-11:59,410,4,C,17:00-17:59,480,4,C,NA,NA,NA,NA,NA,NA,NA,NA,星聚點,台北市松山區復興北路17號,02-2781-7700,1
